Título|Ano de Publicação|Tipo de Acesso|Tipo de Documento|Assuntos|Idioma|Descrição|Link de Acesso
Novel growth models for three Brazilian native timber species and their applications for timber production and carbon stock assessment|||ARTIGO DE PERIODICO|SILVICULTURA SUSTENTÁVEL|Inglês||https://doi.org/10.1111/rec.70045
Aspectos metodológicos de uma pesquisa sobre a historicidade de mulheres na arquitetura e urbanismo|||TRABALHO DE EVENTO-RESUMO|MULHERES|Português||https://drive.google.com/file/d/1czlU7y4hAQDbo4ypRzJsTY5N0_EsIAtC/view
BRR 2018: quando a periferia se torna trendy traça um retrato... [Introdução]|||PARTE DE MONOGRAFIA/LIVRO|POLÍTICA CULTURAL|Português||
Técnica de entrevistas sociais: utilizada nas unidades habitacionais em São José do Rio Preto/SP|||TRABALHO DE EVENTO-RESUMO|HABITAÇÃO|Português||https://drive.google.com/file/d/1czlU7y4hAQDbo4ypRzJsTY5N0_EsIAtC/view
Beyond clinical trials: understanding neurotrophic tropomyosin receptor kinase inhibitor challenges and efficacy in real-world pediatric oncology|||ARTIGO DE PERIODICO|SARCOMA|Inglês||https://doi.org/10.1200/PO.23.00713
BRR 2018: quando a periferia se torna trendy|||MONOGRAFIA/LIVRO|RECICLAGEM URBANA|Português||
Desvendando o espaço público – disputas e construções de novas territoralidades|||TRABALHO DE EVENTO-RESUMO|ESPAÇO PÚBLICO|Português||https://drive.google.com/file/d/1czlU7y4hAQDbo4ypRzJsTY5N0_EsIAtC/view
Performance and feed intake of Nellore steers in extensive, intensive, and integrated pasture-based beef cattle production systems|||ARTIGO DE PERIODICO|SUSTENTABILIDADE|Inglês||https://doi.org/10.1016/j.livsci.2025.105667
A apreensão sensível da paisagem através do caminhar|||TRABALHO DE EVENTO-RESUMO|PAISAGEM|Português||https://drive.google.com/file/d/1czlU7y4hAQDbo4ypRzJsTY5N0_EsIAtC/view
Plexiform X multinodular schwannoma in buccal mucosa: case report|||ARTIGO DE PERIODICO|MUCOSA ORAL|Inglês||
Optimization of the process of obtaining RE 2 O 3 from xenotime using statistical design|||ARTIGO DE PERIODICO|PRECIPITAÇÃO|Inglês||https://doi.org/10.1590/0366-69132018643692180
Gravity-induced symmetry breaking in chemical gardens|||ARTIGO DE PERIODICO|METAIS|Inglês||https://doi.org/10.1021/acsomega.4c10551
Aplicação de extratos hidroalcoólicos de guaco no desenvolvimento de filmes ativos à base de gelatina|||TESE|CONSERVAÇÃO DE ALIMENTOS|Português||https://doi.org/10.11606/T.74.2024.tde-02042025-103305
Associação entre padrões alimentares e sobrevida de pessoas idosas do município de São Paulo: Estudo SABE (Saúde, Bem-estar e Envelhecimento)|||TESE|SÃO PAULO (SP)|Português||https://doi.org/10.11606/T.6.2025.tde-02042025-145418
Advancing research, development, and innovation in space farming: A Brazilian experience|||TRABALHO DE EVENTO|SEGURANÇA ALIMENTAR|Inglês||
Boosting CO2 photoreduction efficiency of carbon nitride via S-scheme g-C3N4/Fe2TiO5 heterojunction|||ARTIGO DE PERIODICO|DEPÓSITOS DE COMBUSTÍVEL FÓSSIL|Inglês||https://dx.doi.org/10.1002/adfm.202422055
Investigações críticas acerca do urbanismo tático: [in]congruências e disputas|||TRABALHO DE EVENTO-RESUMO|PLANEJAMENTO TERRITORIAL URBANO|Português||https://drive.google.com/file/d/1czlU7y4hAQDbo4ypRzJsTY5N0_EsIAtC/view
New nucleopolyhedrovirus isolate in the management of Spodoptera eridania|||ARTIGO DE PERIODICO|MANEJO INTEGRADO|Inglês||https://doi.org/10.1590/0001-3765202520230077
A partitioned coupling framework for peridynamics and classical theory: Analysis and simulations.|||ARTIGO DE PERIODICO|SIMULAÇÃO|Inglês||https://doi.org/10.1016/j.cma.2018.06.008
Sustainable aviation fuel technologies, costs, emissions, policies, and markets: a critical review|||ARTIGO DE PERIODICO|GASES|Inglês||https://doi.org/10.1016/j.jclepro.2024.141472
New perspectives for life-design interventions in the anthropocene context|||ARTIGO DE PERIODICO|SUSTENTABILIDADE|Inglês||https://doi.org/10.1177/10384162241307964
Peripheral odontogenic keratocyst: case report|||ARTIGO DE PERIODICO|CISTO ODONTOGÊNICO|Inglês||
Proposições gráficas em arquitetura: um olhar sobre as relações entre os meios de representação e a concepção projetual nas publicações do arquiteto Bernard Tschumi|||TRABALHO DE EVENTO-RESUMO|REPRESENTAÇÃO|Português||https://drive.google.com/file/d/1czlU7y4hAQDbo4ypRzJsTY5N0_EsIAtC/view
Romance de retalhos: uma análise da composição e da edição de Pedaços da fome de Carolina Maria de Jesus|||TESE|ROMANCE|Português||https://doi.org/10.11606/D.8.2024.tde-11022025-105724
Estudo da dinâmica de polissacarídeos da parede celular e das enzimas hidrolíticas de espécies de trichoderma durante o micoparasitismo|||ARTIGO DE PERIODICO|FITOPATÓGENOS|Português||https://doi.org/10.31668/revsap.v12i1.13938
A new doubly labelled water anthropometry-based equation for prediction of total daily energy expenditure in older people from low- and middle-income countries|||ARTIGO DE PERIODICO|METABOLISMO ENERGÉTICO|Inglês||https://doi.org/10.1038/s41430-021-00886-6
Derecho internacional, historia y cultura|||MONOGRAFIA/LIVRO|GOVERNANÇA GLOBAL|Espanhol||
Modelling sugarcane root elongation in response to mechanical stress as an indicator of soil physical quality|||ARTIGO DE PERIODICO|RAIZ|Inglês||https://doi.org/10.1017/S0014479725000018
Metodologias ativas no ensino superior: aplicação em Epidemiologia Nutricional|||MONOGRAFIA/LIVRO|MÉTODOS DE ENSINO|Português||https://doi.org/10.11606/9786588304174
Zinc-doped antibacterial coating as a single approach to unlock multifunctional and highly resistant titanium implant surfaces|||ARTIGO DE PERIODICO|ENGENHARIA MECÂNICA|Inglês||https://dx.doi.org/10.1021/acsami.4c21875
Pulmonary fibrosis secondary to COVID-19: a narrative review|||ARTIGO DE PERIODICO|SISTEMA RESPIRATÓRIO|Inglês||https://doi.org/10.1080/17476348.2021.1916472
Ultra-processed food intake in association with BMI change and risk of overweight and obesity: A prospective analysis of the French NutriNet-Santé cohort|||ARTIGO DE PERIODICO|FRANÇA|Inglês||https://doi.org/10.1371/journal.pmed.1003256
Trajetórias individuais no mercado de trabalho e habilidades: uma análise estrutural|||TESE|APTIDÃO COGNITIVA|Português||https://doi.org/10.11606/D.12.2024.tde-22102024-153057
Diversity in the genus Yuzurua (Ceramiales, Rhodophyta), with the description of a new species from the Western South Atlantic|||ARTIGO DE PERIODICO|BOTÂNICA (CLASSIFICAÇÃO)|Inglês||https://doi.org/10.1080/00318884.2025.2465273
Groundwater treatment and disinfection by electrochemical advanced oxidation process: Influence of the supporting electrolyte and the nature of the contaminant|||ARTIGO DE PERIODICO|ÁGUAS SUBTERRÂNEAS|Inglês||https://doi.org/10.1002/appl.202300008
Energy efficiency, sustainability, and operating cost optimization of an FPSO with CCUS: an innovation in CO2 compression and injection systems|||ARTIGO DE PERIODICO|SUSTENTABILIDADE|Inglês||https://doi.org/10.1016/j.energy.2022.126493
Synthesis of an experimental gel containing biologically synthesized silver nanoparticles used in the biofilm disruption|||ARTIGO DE PERIODICO|QUITOSANA|Inglês||https://doi.org/10.21270/archi.v12i7.5804
Corpos que (não) importam: regimes artísticos de (in)visibilidade na arte contemporânea|||TRABALHO DE EVENTO-RESUMO|PLANEJAMENTO TERRITORIAL URBANO|Português||https://drive.google.com/file/d/1czlU7y4hAQDbo4ypRzJsTY5N0_EsIAtC/view
Não é só por 20 centavos... [Contracapa de livro]|||OUTROS|TARIFAS DE TRANSPORTES|Português||
Numerical analysis of the effect of oscillation and current on hydrodynamic coefficients of simple geometries|||ARTIGO DE PERIODICO|DINÂMICA DOS FLUÍDOS COMPUTACIONAL|Inglês||https://doi.org/10.1016/j.oceaneng.2023.115016
Astrocytic Hevin/SPARCL-1 regulates cognitive decline in pathological and normal brain aging|||ARTIGO DE PERIODICO|ASTRÓCITOS|Inglês||https://dx.doi.org/10.1111/acel.14493
O trombone contemporâneo de Estercio Marquez Cunha: interações intérprete-compositor|||TESE|CRIAÇÃO ARTÍSTICA|Português||https://doi.org/10.11606/T.27.2024.tde-27032025-101840
Tuning almond lipase features by the buffer used during immobilization: the apparent biocatalysts stability depends on the immobilization and inactivation buffers and the substrate utilized|||ARTIGO DE PERIODICO|CATALISADORES|Inglês||https://doi.org/10.1016/j.jbiotec.2024.06.009
Movimento pagode noventa: o sonho, o romantismo e suas harmonias|||TESE|ANÁLISE MUSICAL|Português||https://doi.org/10.11606/D.27.2025.tde-27032025-100542
Manual de direito internacional público|||MONOGRAFIA/LIVRO|DIREITO INTERNACIONAL PÚBLICO|Português||
Do vazio total à possibilidade de ficção: uma leitura de Por escrito, de Elvira Vigna|||TESE|MEMÓRIA|Português||https://doi.org/10.11606/D.8.2024.tde-11022025-122219
An extended flow cytometry evaluation of ex vivo expanded NK cells using K562.Clone1, a feeder cell line manufactured in Brazil|||ARTIGO DE PERIODICO|IMUNOTERAPIA|Inglês||https://doi.org/10.1016/j.jtct.2024.07.004
Impact of urban green areas on air quality: an integrated analysis in the metropolitan area of São Paulo|||ARTIGO DE PERIODICO|ESPAÇO URBANO|Inglês||http://dx.doi.org/10.1016/j.envpol.2025.126082
Is there a preferable management for root caries in middle-aged and older adults? A systematic review|||ARTIGO DE PERIODICO|REVISÃO SISTEMÁTICA|Inglês||https://doi.org/10.1038/s41415-021-3003-2
O movimento corporal na aula de piano: investigação de estratégias de ensino com base na Pedagogia Dalcroze|||TESE|CORPO (ARTES)|Português||https://doi.org/10.11606/D.27.2024.tde-27032025-095228
Processes proposal for the technology search, reception and analysis for the Intellectual Property management in a Technology Licensing Office from a brazilian Scientific and Technological Institution|||ARTIGO DE PERIODICO|INOVAÇÕES TECNOLÓGICAS|Inglês||https://doi.org/10.22161/ijaers.5.2.1
Compreender, sensibilizar e incluir: formação de professores/as em busca da equidade na aprendizagem|||PARTE DE MONOGRAFIA/LIVRO|GESTÃO DEMOCRÁTICA DA EDUCAÇÃO|Português||https://www.livrosabertos.abcd.usp.br/portaldelivrosUSP/catalog/view/1520/1385/5414
Contação de história: importante capítulo da humanização|||TRABALHO DE EVENTO-RESUMO|ESTÓRIAS|Português||
What are microbiological effects of the adjunctive use of probiotics in the treatment of periodontal diseases? A systematic review|||ARTIGO DE PERIODICO|ENSAIO CLÍNICO CONTROLADO RANDOMIZADO|Inglês||https://doi.org/10.3920/BM2020.0143
Gestão democrática e lutas anti-barbárie: a educação antirracista no projeto político-pedagógico|||PARTE DE MONOGRAFIA/LIVRO|GESTÃO DEMOCRÁTICA DA EDUCAÇÃO|Português||https://www.livrosabertos.abcd.usp.br/portaldelivrosUSP/catalog/view/1520/1385/5414
Introducing a Suite of Low-Burden Diet Quality Indicators That Reflect Healthy Diet Patterns at Population Level|||ARTIGO DE PERIODICO|DIETA|Inglês||https://doi.org/10.1093/cdn/nzaa168
Thermal and economic investigations of parabolic trough collector arrays with application in Brazil|||ARTIGO DE PERIODICO|MODELOS MATEMÁTICOS|Inglês||https://doi.org/10.1007/s10973-023-12696-y
Processo em geral|||PARTE DE MONOGRAFIA/LIVRO|CÓDIGO DE PROCESSO PENAL|Português||
Mudanças comportamentais observadas em alunos do ensino fundamental em relação ao descarte de resíduos com aprendizagem ativa|||ARTIGO DE PERIODICO|CIÊNCIA|Português||https://doi.org/10.22409/resa2018.v11i1.a21286
Cartilha da cidade e o jogo “agentes urbanos e a cidade participativa”|||TRABALHO DE EVENTO-RESUMO|CIDADES|Português||https://drive.google.com/file/d/1czlU7y4hAQDbo4ypRzJsTY5N0_EsIAtC/view
Watermelon reduces the toxicity of cisplatin treatment in C57BL/6 mice with induced melanoma|||ARTIGO DE PERIODICO|MELANOMA|Inglês||https://doi.org/10.1080/01635581.2021.1918731
Identifying potential routes and airports in Brazil: an integration of the route selection and fleet assignment problems|||ARTIGO DE PERIODICO|ENGENHARIA DE PRODUÇÃO|Inglês||http://dx.doi.org/10.1016/j.cstp.2025.101423
Effect of Passivation Treatment on Adhesion and Protective Properties of Steel Coated with Polymeric Film|||ARTIGO DE PERIODICO|PROTEÇÃO DOS MATERIAIS|Inglês||https://doi.org/10.4028/www.scientific.net/MSF.930.422
Integration of simulation and hierarchical approach to support lean implementation|||ARTIGO DE PERIODICO|ENGENHARIA DE PRODUÇÃO|Inglês||http://dx.doi.org/10.2507/IJSIMM24-1-719
Princípios e garantias constitucionais|||PARTE DE MONOGRAFIA/LIVRO|CÓDIGO DE PROCESSO PENAL|Português||
Análise palinológica de um filtro de ar-condicionado veicular|||ARTIGO DE PERIODICO|PÓLEN|Português||https://doi.org/10.15260/rbc.v13i3.846
Modal analysis and structural optimization of integrated bladed disks and centrifugal compressor impellers|||ARTIGO DE PERIODICO|COMPRESSORES PNEUMÁTICOS|Inglês||https://doi.org/10.1007/s00158-024-03746-6
Maize B chromosome affects the flowering time|||ARTIGO DE PERIODICO|MILHO|Inglês||https://doi.org/10.1007/s00122-025-04862-7
A proposed methodology for diverterless supersonic inlet aerodynamic integration with a generic forebody|||ARTIGO DE PERIODICO|ENGENHARIA AERONÁUTICA|Inglês||http://dx.doi.org/10.1016/j.ast.2025.110135
Development and characterization of zinc oxalate conversion coatings on zinc.|||ARTIGO DE PERIODICO|ZINCO|Inglês||https://doi.org/10.1016/j.corsci.2018.03.011
A straightforward protocol for extracting microplastics from freshwater sediment with high organic content|||ARTIGO DE PERIODICO|POLUIÇÃO|Inglês||https://dx.doi.org/10.1051/kmae/2025001
Protocolos cirúrgicos utilizados no Hospital de Reabilitação de Anomalias Craniofaciais (HRAC) em fissuras labiopalatinas unilaterais: estudo comparativo|||TRABALHO DE EVENTO-RESUMO|CIRURGIA|Português||
Effects of sugarcane cultivation on the carbon dioxide dynamics of tropicalheadwater streams|||ARTIGO DE PERIODICO|METABOLISMO|Inglês||http://dx.doi.org/10.1080/20442041.2024.2431400
Belo Monte Dam impacts: protagonism of local people in research and monitoring reveals ecosystem service decay in Amazonian flooded vegetation|||ARTIGO DE PERIODICO|FENOLOGIA|Inglês||https://doi.org/10.1016/j.pecon.2025.02.001
O direito administrativo em busca da filosofia política [prefácio]|||PARTE DE MONOGRAFIA/LIVRO-APRES/PREF/POSF|DECISÃO ADMINISTRATIVA|Português||
A coleção Fórum direito e políticas públicas ... [apresentação]|||PARTE DE MONOGRAFIA/LIVRO-APRES/PREF/POSF|DECISÃO ADMINISTRATIVA|Português||
Educação, desenvolvimento afetivo e prevenção dos sofrimentos psíquicos: a perspectiva de Emilio Mira y López|||PARTE DE MONOGRAFIA/LIVRO|GESTÃO DEMOCRÁTICA DA EDUCAÇÃO|Português||https://www.livrosabertos.abcd.usp.br/portaldelivrosUSP/catalog/view/1520/1385/5414
Stability analysis of a Giesekus fluid jet flow|||TRABALHO DE EVENTO|VISCOELASTICIDADE DAS ESTRUTURAS|Inglês||https://www.ictam2024.org
Tradução comentada de Méthode facile pour la viole damour, de Louis-Toussaint Milandre|||TESE|TRADUÇÃO|Português||https://doi.org/10.11606/D.27.2024.tde-26032025-101000
Mitochondrial swelling in cardiomyocytes: insights from a murine model of Tityus serrulatus scorpion envenomation|||ARTIGO DE PERIODICO|SISTEMA CARDIOVASCULAR|Inglês||https://doi.org/10.1016/j.toxicon.2023.107259
Sobre a representação do mundo como presença no mundo|||PARTE DE PRODUCAO ARTISTICA|CATÁLOGO DE EXPOSIÇÃO|Português||
Energy, exergy and environmental impacts analyses of Pumped Hydro Storage (PHS) and Hydrogen (H2) energy storage processes|||ARTIGO DE PERIODICO|PLANEJAMENTO ENERGÉTICO|Inglês||https://doi.org/10.1016/j.est.2023.109713
Orthodontic treatment in a patient with Robinow syndrome: case report|||TRABALHO DE EVENTO-RESUMO|ANORMALIDADES MÚLTIPLAS|Inglês||
Overexpression of the transcription factor AZF1 reveals novel regulatory functions and impacts β-glucosidase production in Trichoderma reesei|||ARTIGO DE PERIODICO|ENZIMAS GLICOLÍTICAS|Inglês||https://doi.org/10.3390/jof9121173
Educação e novas tecnologias digitais: possibilidades e limites|||PARTE DE MONOGRAFIA/LIVRO|INTELIGÊNCIA ARTIFICIAL|Português||https://www.livrosabertos.abcd.usp.br/portaldelivrosUSP/catalog/view/1520/1385/5414
Odontogenic keratocyst associated with asperlogillosis in a syndromic patient|||TRABALHO DE EVENTO-RESUMO|SÍNDROME DE GORLIN-GOLTZ|Inglês||
Parametric optimization applied to design a high-performance vaneless-diffuser for CO2 centrifugal compressor|||ARTIGO DE PERIODICO|SEQUESTRO DE CARBONO|Inglês||https://doi.org/10.1080/15567036.2023.2279265
Reutilization of the most stable coimmobilized enzyme using glutaraldehyde chemistry to produce a new combi-biocatalyst when the coimmobilized enzyme with a lower stability is inactivated|||ARTIGO DE PERIODICO|REAÇÕES QUÍMICAS|Inglês||https://doi.org/10.1021/acssuschemeng.3c08231
Multiple odontogenic keratocysts recurrence in a patient with nevoid basal cell carcinoma syndrome|||TRABALHO DE EVENTO-RESUMO|SÍNDROME DE GORLIN-GOLTZ|Inglês||
Professor Manoel Ferreira Filho: Diretoria e Inst. Pimenta Bueno [entrevista]|||APRESENTACAO SONORA/CENICA/ENTREVISTA|ENSINO JURÍDICO|Português||https://www.youtube.com/watch?v%3DbWP1x5Ryv9o
Long-distance gene flow and recombination shape the evolutionary history of a maize pathogen|||ARTIGO DE PERIODICO|SEQUENCIAMENTO GENÉTICO|Inglês||https://doi.org/10.3897/imafungus.16.138888
An ascomycota coculture in batch bioreactor is better than polycultures for cellulase production|||ARTIGO DE PERIODICO|BIOTECNOLOGIA|Inglês||https://doi.org/10.1007/s12223-018-0588-1
Infrared thermographic assessment to discriminate soybean seed vigor|||ARTIGO DE PERIODICO|TERMOGRAFIA|Inglês||https://doi.org/10.1002/agj2.21151
Efeito da idade na Dopplervelocimetria arterial encefálica de cães clinicamente saudáveis de diferentes faixas etárias|||TESE|CÃES|Português||https://doi.org/10.11606/T.74.2024.tde-02042025-095646
Professor Manoel Ferreira Filho: Período político [entrevista]|||APRESENTACAO SONORA/CENICA/ENTREVISTA|ENSINO JURÍDICO|Português||https://www.youtube.com/watch?v%3DPPaEZyHUwN0
Patterns of antimicrobial resistance and metal tolerance in environmental Pseudomonas aeruginosa isolates and the genomic characterization of the rare O6/ST900 clone|||ARTIGO DE PERIODICO|PSEUDOMONAS|Inglês||https://doi.org/10.1007/s10661-023-11344-0
Bytes of affect: unveiling the emergence of the responsible menopause consumer on social media|||ARTIGO DE PERIODICO|MÍDIAS SOCIAIS|Inglês||https://www.tandfonline.com/doi/epdf/10.1080/0267257X.2025.2463496?needAccess%3Dtrue
Relação das mamas femininas com a atividade física, exercício e esporte: parte 1|||ARTIGO DE PERIODICO|MAMA|Português||https://doi.org/10.1590/1517-8692202430022022_0122p
Impacto da leucina e da fonte proteica nas adaptações musculares ao treinamento de força|||TESE|METABOLISMO|Português||https://doi.org/10.11606/T.39.2021.tde-02042025-075839
Rebilitação oral em paciente com fissura pós-forame incompleta e síndrome de Noonan, através de próteses implanto-retida e muco-suportada: relato de caso|||TRABALHO DE EVENTO-RESUMO|PRÓTESE TOTAL|Português||
Professor Manoel Ferreira Filho: Anos iniciais e docência [entrevista]|||APRESENTACAO SONORA/CENICA/ENTREVISTA|ENSINO JURÍDICO|Português||https://www.youtube.com/watch?v%3DDAlz2Zx4YY4
Production and extraction of a potential antimicrobial biosurfactant by Bacillus atrophaeus ATCC9372 cultivated in dairy residues|||ARTIGO DE PERIODICO|BIOTECNOLOGIA|Inglês||https://doi.org/10.1016/j.nbt.2018.05.920
Novel pseudomonas species prevent the growth of the phytopathogenic fungus Aspergillus flavus|||ARTIGO DE PERIODICO|FITOPATÓGENOS|Inglês||https://doi.org/10.3390/biotech13020008
Investigation of the involvement of platelet-activating factor in the control of hypertension by aerobic training: a randomized controlled trial|||ARTIGO DE PERIODICO|QUALIDADE DE VIDA|Inglês||https://doi.org/10.5114/biolsport.2024.131819
Ultra-processed foods drive to unhealthy diets: evidence from Chile|||ARTIGO DE PERIODICO|CHILE|Inglês||https://doi.org/10.1017/s1368980019004737
A invenção da gestão democrática: o que mais a escola pode fazer|||PARTE DE MONOGRAFIA/LIVRO|AVALIAÇÃO DA EDUCAÇÃO|Português||
A new approach to a first order irreversible homogeneous chemical reaction followed by an electrochemical process (CiE mechanism): theory, simulation and application|||ARTIGO DE PERIODICO|VOLTAMETRIA|Inglês||https://dx.doi.org/10.1039/D4CP04092A
Enhancing xylanase production from Aspergillus tamarii kita and its application in the bioconversion of agro-industrial residues into fermentable sugars using factorial design|||ARTIGO DE PERIODICO|INDÚSTRIA AGRÍCOLA|Inglês||https://doi.org/10.3390/fermentation10050241
Alterações na microbiota intestinal e translocação peritoneal de equinos com compactação tardia de cólon maior|||TESE|INTESTINO DE ANIMAL|Português||https://doi.org/10.11606/D.74.2024.tde-01042025-161424
Effect of chronic hepatitis C on the activity of the membrane transporters P‐gp and OATP1B1/BCRP on patients with different stages of hepatic fibrosis|||ARTIGO DE PERIODICO|ANTILIPÊMICOS|Inglês||https://doi.org/10.1002/cpt.2908
Code change and smell techniques for regression test selection|||ARTIGO DE PERIODICO|FALHA|Inglês||https://doi.org/10.1007/s11219-025-09708-5
The cerato-platanin EPL2 from Trichoderma reesei is not directly involved in cellulase formation but in cell wall remodeling|||ARTIGO DE PERIODICO|ENZIMAS HIDROLÍTICAS|Inglês||https://doi.org/10.3390/microorganisms11081965
Redox mediator system: Expanding the potential of laccase-like nanozymes towards pollutant remediation|||ARTIGO DE PERIODICO|POLUIÇÃO AMBIENTAL|Inglês||https://doi.org/10.1016/j.rineng.2025.104656
Local atmospheric vapor pressure deficit as microclimate index to assess tropical rainforest riparian restoration success|||ARTIGO DE PERIODICO|VAPOR ATMOSFÉRICO|Inglês||https://doi.org/10.1016/j.scitotenv.2025.179146
Formação de professores e políticas educacionais: discutindo apagamentos e a centralidade ignorada|||PARTE DE MONOGRAFIA/LIVRO|DESEMPENHO DO PROFESSOR|Português||https://www.livrosabertos.abcd.usp.br/portaldelivrosUSP/catalog/view/1520/1385/5414
A new halotolerant xylanase from Aspergillus clavatus expressed in Escherichia coli with catalytic efficiency improved by site-directed mutagenesis|||ARTIGO DE PERIODICO|BIOMASSA|Inglês||https://doi.org/10.1007/s13205-024-04021-7
The impact of acculturation to the US environment on the dietary share of ultra-processed foods among US adults|||ARTIGO DE PERIODICO|ESTADOS UNIDOS|Inglês||https://doi.org/10.1016/j.ypmed.2020.106261
Teoria geral da administração: da revolução urbana à era da agilidade organizacional|||MONOGRAFIA/LIVRO|ADMINISTRAÇÃO|Português||
Tempos e narrativas para uma educação democrática: o que pode a formação de professores|||PARTE DE MONOGRAFIA/LIVRO|GESTÃO DEMOCRÁTICA DA EDUCAÇÃO|Português||https://www.livrosabertos.abcd.usp.br/portaldelivrosUSP/catalog/view/1520/1385/5414
A orientação de um trabalho acadêmico, ainda que não em todos os casos, torna-se amiúde uma atividade muito prazerosa ... [Prefácio]|||PARTE DE MONOGRAFIA/LIVRO-APRES/PREF/POSF|DEBATE PARLAMENTAR|Português||
Avaliação de usabilidade do CoderBot como recurso pedagógico no ensino de programação|||TRABALHO DE EVENTO|METODOLOGIA E TÉCNICAS DE COMPUTAÇÃO|Português||https://doi.org/10.5753/wbots.2024.3926
Ontogênese foliar em espécies de Simaroubaceae: modelo de estudo sobre os padrões foliares em Sapindales|||TESE|SAPINDALES|Português||https://doi.org/10.11606/D.41.2025.tde-01042025-153647
Modelo de regressão paramétrico para dados de sobrevivência com tempos de permanência dependentes|||TESE|ANÁLISE DE SOBREVIVÊNCIA|Português||https://doi.org/10.11606/T.45.2019.tde-01042025-173605
Zoneamento ecológico e econômico da Amazônia: questões de escala e método|||PARTE DE MONOGRAFIA/LIVRO|GEOGRAFIA|Português||
Potencialidades paisagísticas brasileiras|||PARTE DE MONOGRAFIA/LIVRO|GEOGRAFIA|Português||
O relevo brasileiro e seus problemas|||PARTE DE MONOGRAFIA/LIVRO|GEOGRAFIA|Português||
Uma excursão inesquecível pelo Vale do São Francisco e Salvador com o professor Aziz Ab'Saber [Depoimento]|||PARTE DE MONOGRAFIA/LIVRO|GEOGRAFIA|Português||
O problema das conexões antigas e da separação da drenagem do Paraíba e do Tietê|||PARTE DE MONOGRAFIA/LIVRO|GEOGRAFIA|Português||
Vocabulári()s|||MONOGRAFIA/LIVRO-ED/ORG|TERMINOLOGIA|Português||
Técnicas de análises de resíduos e forma funcional de covariáveis em modelos de tempo de falha acelerado com efeito aleatório|||TESE|PETRÓLEO|Português||https://doi.org/10.11606/T.45.2019.tde-01042025-162755
Zigue-Zague = Zigzag|||PARTE DE PRODUCAO ARTISTICA|CATÁLOGO DE EXPOSIÇÃO|Português||
